"Date","Price","Open","High","Low","Vol.","Change %"
"01/08/2021","25.3700","27.1250","27.2200","24.4809","","-6.40%"
"01/07/2021","27.1040","27.3050","27.3750","26.9200","","-0.72%"
"01/06/2021","27.3000","27.5800","27.9300","26.6093","","-0.98%"
"01/05/2021","27.5700","27.2450","27.6950","26.9916","","1.32%"
"01/04/2021","27.2110","26.6500","27.5700","26.6150","","3.23%"
"01/01/2021","26.3600","26.4000","26.4550","26.3650","","0.01%"
"12/31/2020","26.3584","26.6400","26.7150","26.2100","","-0.95%"
"12/30/2020","26.6100","26.2100","26.6458","26.1350","","1.65%"
"12/29/2020","26.1788","26.2050","26.6200","25.9500","","0.07%"
"12/28/2020","26.1600","26.0898","26.7750","25.9442","","1.20%"
"12/25/2020","25.8500","25.8250","25.8750","25.8250","","0.04%"
"12/24/2020","25.8400","25.5600","25.9250","25.4200","","1.21%"
"12/23/2020","25.5300","25.1600","25.8000","25.0600","","1.62%"
"12/22/2020","25.1224","26.1909","26.5856","25.0770","","-3.98%"
"12/21/2020","26.1633","25.7950","27.4050","24.9700","","1.53%"
"12/18/2020","25.7680","26.0600","26.1350","25.6550","","-1.08%"
"12/17/2020","26.0500","25.3750","26.1000","25.1600","","2.82%"
"12/16/2020","25.3358","24.5200","25.5050","24.4430","","3.48%"
"12/15/2020","24.4829","23.8400","24.5750","23.8100","","2.79%"
"12/14/2020","23.8176","23.9350","24.2400","23.6750","","-0.40%"
"12/11/2020","23.9122","23.9750","24.1250","23.6000","","-0.16%"
"12/10/2020","23.9495","23.9436","24.2900","23.7200","","0.12%"
"12/09/2020","23.9212","24.5600","24.5938","23.5900","","-2.60%"
"12/08/2020","24.5600","24.5050","24.8700","24.4250","","0.22%"
"12/07/2020","24.5050","24.1900","24.7857","23.5200","","1.40%"
"12/04/2020","24.1656","24.0850","24.4100","23.9300","","0.42%"
"12/03/2020","24.0655","24.1100","24.2950","23.7350","","-0.15%"
"12/02/2020","24.1018","24.0150","24.3286","23.5400","","0.42%"
"12/01/2020","24.0021","22.6350","24.0607","22.5807","","6.18%"
"11/30/2020","22.6044","22.7250","22.7800","21.8965","","-0.40%"
"11/27/2020","22.6950","23.2750","23.3450","22.3400","","-3.22%"
"11/26/2020","23.4500","23.3250","23.4900","23.1750","","0.64%"
"11/25/2020","23.3000","23.2700","23.5331","23.0950","","0.20%"
"11/24/2020","23.2524","23.5900","23.6433","22.9300","","-1.37%"
"11/23/2020","23.5759","24.1650","24.4050","23.4238","","-2.35%"
"11/20/2020","24.1444","24.0950","24.5350","23.9000","","0.23%"
"11/19/2020","24.0895","24.3150","24.3850","23.6300","","-0.92%"
"11/18/2020","24.3126","24.4916","24.7150","24.2000","","-0.63%"
"11/17/2020","24.4678","24.7800","24.8150","24.3650","","-1.15%"
"11/16/2020","24.7515","24.6750","25.0800","24.2200","","0.49%"
"11/13/2020","24.6296","24.2450","24.8250","24.1550","","1.65%"
"11/12/2020","24.2300","24.2750","24.4050","24.0400","","-0.08%"
"11/11/2020","24.2494","24.2200","24.4450","23.7743","","0.16%"
"11/10/2020","24.2100","24.0850","24.5050","23.8950","","0.58%"
"11/09/2020","24.0698","25.6150","26.0062","23.5750","","-5.95%"
"11/06/2020","25.5929","25.3600","25.8456","24.8932","","1.05%"
"11/05/2020","25.3275","23.9400","25.4800","23.8900","","5.93%"
"11/04/2020","23.9100","24.1800","24.5009","23.2400","","-1.06%"
"11/03/2020","24.1654","24.0800","24.4000","23.9000","","0.53%"
"11/02/2020","24.0383","23.6550","24.1750","23.3939","","1.73%"
"10/30/2020","23.6300","23.2450","23.8250","23.1740","","1.53%"
"10/29/2020","23.2750","23.3900","23.5858","22.5800","","-0.58%"
"10/28/2020","23.4100","24.3700","24.5850","23.0200","","-4.64%"
"10/27/2020","24.5500","24.2750","24.6200","24.1950","","0.95%"
"10/26/2020","24.3200","24.6300","24.6700","24.1000","","-1.06%"
"10/23/2020","24.5800","24.7200","24.8650","24.4050","","-0.69%"
"10/22/2020","24.7500","25.0400","25.0916","24.3650","","-1.28%"
"10/21/2020","25.0700","24.6550","25.2900","24.6500","","1.72%"
"10/20/2020","24.6450","24.3797","24.9352","24.3200","","0.59%"
"10/19/2020","24.5000","24.1750","24.9850","24.1150","","1.37%"
"10/16/2020","24.1700","24.2750","24.5266","24.0600","","-0.58%"
"10/15/2020","24.3100","24.2875","24.3450","23.5800","","0.12%"
"10/14/2020","24.2800","24.1650","24.6500","23.8743","","0.46%"
"10/13/2020","24.1700","25.1350","25.2050","23.9350","","-3.74%"
"10/12/2020","25.1100","25.1100","25.5750","24.7800","","-0.04%"
"10/09/2020","25.1200","23.8450","25.1886","23.8326","","5.44%"
"10/08/2020","23.8250","23.8750","24.2200","23.6600","","-0.06%"
"10/07/2020","23.8400","23.0350","23.9851","23.0050","","3.27%"
"10/06/2020","23.0850","24.3850","24.5100","22.8650","","-5.20%"
"10/05/2020","24.3500","23.7150","24.5200","23.6750","","2.74%"
"10/02/2020","23.7000","23.7835","24.2050","23.4800","","-0.80%"
"10/01/2020","23.8900","23.2250","24.1750","23.2150","","2.93%"
"09/30/2020","23.2100","24.2243","24.3200","23.1393","","-3.99%"
"09/29/2020","24.1750","23.6750","24.4103","23.3700","","1.96%"
"09/28/2020","23.7100","22.8765","23.7375","22.5150","","3.72%"
"09/25/2020","22.8600","23.1550","23.3162","22.4500","","-1.49%"
"09/24/2020","23.2050","22.8950","23.3600","21.6611","","1.46%"
"09/23/2020","22.8700","24.4005","24.4800","22.5950","","-6.33%"
"09/22/2020","24.4150","24.7250","25.2376","23.8274","","-1.27%"
"09/21/2020","24.7300","26.7967","26.9667","23.7165","","-7.60%"
"09/18/2020","26.7650","27.0850","27.2200","26.7055","","-1.24%"
"09/17/2020","27.1000","27.3150","27.3150","26.3112","","-0.48%"
"09/16/2020","27.2300","27.2350","27.4550","26.8791","","-0.02%"
"09/15/2020","27.2350","27.1470","27.6329","27.0024","","0.29%"
"09/14/2020","27.1550","26.7649","27.3100","26.6725","","1.55%"
"09/11/2020","26.7400","26.8776","27.0438","26.5800","","-0.67%"
"09/10/2020","26.9200","26.9890","27.4930","26.6800","","-0.39%"
"09/09/2020","27.0250","26.6267","27.1300","26.4073","","1.20%"
"09/08/2020","26.7050","26.9343","27.1027","25.8604","","-1.09%"
"09/07/2020","27.0000","26.8747","27.1757","26.6153","","0.45%"
"09/04/2020","26.8800","26.5900","27.0131","26.3090","","0.96%"
"09/03/2020","26.6250","27.4325","27.7200","26.4800","","-3.16%"
"09/02/2020","27.4950","28.1245","28.3200","27.0780","","-2.38%"
"09/01/2020","28.1650","28.2650","28.9100","27.7141","","-0.19%"
"08/31/2020","28.2200","27.5375","28.3680","27.5375","","2.66%"
"08/28/2020","27.4900","27.0527","27.7200","26.8300","","1.65%"
"08/27/2020","27.0450","27.5189","27.9180","26.5245","","-1.73%"
"08/26/2020","27.5200","26.4750","27.5450","26.0973","","4.12%"
"08/25/2020","26.4300","26.5450","26.8080","26.0715","","-0.41%"
"08/24/2020","26.5400","26.7640","27.2450","26.2570","","-0.56%"
"08/21/2020","26.6886","27.2640","27.5452","26.0599","","-1.95%"
"08/20/2020","27.2200","26.7150","27.5277","26.6047","","1.87%"
"08/19/2020","26.7200","27.7226","28.0425","26.4950","","-3.36%"
"08/18/2020","27.6500","27.4550","28.4600","27.1211","","0.91%"
"08/17/2020","27.4000","26.6418","27.5712","25.8305","","3.75%"
"08/14/2020","26.4100","27.5230","27.7240","25.7483","","-4.16%"
"08/13/2020","27.5550","25.5835","27.7212","25.2805","","7.81%"
"08/12/2020","25.5600","24.7815","26.2921","23.4455","","3.11%"
"08/11/2020","24.7900","29.1850","29.2595","24.4299","","-14.96%"
"08/10/2020","29.1500","28.4634","29.4233","27.8682","","3.04%"
"08/07/2020","28.2900","28.9350","29.8634","27.3760","","-2.25%"
"08/06/2020","28.9400","26.9910","29.0902","26.8000","","7.11%"
"08/05/2020","27.0200","26.0150","27.1451","25.3731","","3.92%"
"08/04/2020","26.0000","24.2450","26.0287","24.1200","","7.22%"
"08/03/2020","24.2500","24.7595","24.8505","24.0598","","-0.49%"
"07/31/2020","24.3700","23.5257","24.4716","23.2936","","3.50%"
"07/30/2020","23.5450","24.4150","24.4250","22.9160","","-3.52%"
"07/29/2020","24.4050","24.6050","24.9400","23.3297","","-0.67%"
"07/28/2020","24.5700","24.5645","26.2051","22.3462","","-0.16%"
"07/27/2020","24.6100","22.7450","24.6350","22.7201","","8.22%"
"07/24/2020","22.7400","22.6950","22.9300","22.4135","","0.09%"
"07/23/2020","22.7200","23.0650","23.2585","22.2700","","-1.35%"
"07/22/2020","23.0300","21.3034","23.0709","21.2838","","7.97%"
"07/21/2020","21.3300","19.9300","21.3550","19.8530","","7.19%"
"07/20/2020","19.9000","19.3538","19.9300","19.2450","","3.06%"
"07/17/2020","19.3100","19.1550","19.4050","18.9250","","0.73%"
"07/16/2020","19.1700","19.4250","19.4850","19.0975","","-1.13%"
"07/15/2020","19.3900","19.2050","19.4800","19.1299","","0.99%"
"07/14/2020","19.2000","19.1150","19.3000","18.8700","","0.63%"
"07/13/2020","19.0800","18.6925","19.3764","18.6925","","2.20%"
"07/10/2020","18.6700","18.6950","18.8200","18.4788","","0.05%"
"07/09/2020","18.6600","18.6450","19.0519","18.4828","","-0.59%"
"07/08/2020","18.7700","18.3400","18.7950","18.2400","","2.57%"
"07/07/2020","18.3000","18.2450","18.3783","17.9865","","0.49%"
"07/06/2020","18.2100","18.0476","18.4100","17.9400","","0.94%"
"07/03/2020","18.0400","18.0500","18.1100","17.9291","","0.78%"
"07/02/2020","17.9000","17.9600","18.1362","17.7598","","-0.22%"
"07/01/2020","17.9400","18.1700","18.4623","17.8250","","-1.05%"
"06/30/2020","18.1300","17.8200","18.2565","17.7650","","1.51%"
"06/29/2020","17.8600","17.8135","17.9652","17.6750","","0.62%"
"06/26/2020","17.7500","17.7974","17.9448","17.4922","","-0.73%"
"06/25/2020","17.8800","17.4825","17.9050","17.4350","","2.05%"
"06/24/2020","17.5200","17.8600","18.0750","17.4150","","-2.40%"
"06/23/2020","17.9500","17.8400","18.0282","17.6625","","0.73%"
"06/22/2020","17.8200","17.6536","18.0450","17.6341","","1.25%"
"06/19/2020","17.6000","17.5300","17.8200","17.3595","","0.54%"
"06/18/2020","17.5050","17.4850","17.6921","17.3050","","-0.43%"
"06/17/2020","17.5800","17.4300","17.6450","17.3000","","1.06%"
"06/16/2020","17.3950","17.3775","17.6000","17.2300","","-0.20%"
"06/15/2020","17.4300","17.4572","17.5861","16.9550","","-0.06%"
"06/12/2020","17.4400","17.6150","17.7725","17.3827","","-1.50%"
"06/11/2020","17.7050","18.1238","18.1700","17.4750","","-2.99%"
"06/10/2020","18.2500","17.5331","18.3150","17.5243","","3.75%"
"06/09/2020","17.5900","17.7614","17.8000","17.4550","","-1.51%"
"06/08/2020","17.8600","17.3865","17.9250","17.3150","","2.82%"
"06/05/2020","17.3700","17.7600","17.8150","17.2150","","-1.98%"
"06/04/2020","17.7200","17.7500","17.8675","17.4500","","0.28%"
"06/03/2020","17.6700","18.1000","18.1300","17.4592","","-2.32%"
"06/02/2020","18.0900","18.2850","18.3885","17.7730","","-0.99%"
"06/01/2020","18.2700","17.8850","18.4387","17.8850","","2.41%"
"05/29/2020","17.8400","17.4300","17.9350","17.2625","","2.41%"
"05/28/2020","17.4200","17.2765","17.5259","17.1700","","0.69%"
"05/27/2020","17.3000","17.1200","17.3800","16.8494","","1.17%"
"05/26/2020","17.1000","17.1230","17.4775","17.0150","","-0.58%"
"05/25/2020","17.2000","17.2020","17.2600","16.8829","","0.12%"
"05/22/2020","17.1800","17.0100","17.2566","16.7034","","0.70%"
"05/21/2020","17.0600","17.5100","17.5950","16.8750","","-2.51%"
"05/20/2020","17.5000","17.4400","17.6450","17.2685","","0.57%"
"05/19/2020","17.4000","16.9950","17.5000","16.9631","","1.31%"
"05/18/2020","17.1750","16.6350","17.5772","16.6350","","3.34%"
"05/15/2020","16.6200","15.8754","16.7400","15.7602","","4.73%"
"05/14/2020","15.8700","15.5625","15.9550","15.4384","","1.47%"
"05/13/2020","15.6400","15.4460","15.6650","15.3271","","1.49%"
"05/12/2020","15.4100","15.4928","15.6500","15.3364","","-0.90%"
"05/11/2020","15.5500","15.5050","15.6249","15.2700","","0.65%"
"05/08/2020","15.4500","15.3500","15.6460","15.2100","","-0.32%"
"05/07/2020","15.5000","14.8416","15.5275","14.8193","","3.89%"
"05/06/2020","14.9200","14.9665","15.1800","14.8150","","-0.67%"
"05/05/2020","15.0200","14.7976","15.0550","14.7100","","1.21%"
"05/04/2020","14.8400","14.9745","15.0819","14.7264","","-0.67%"
"05/01/2020","14.9400","14.9480","15.0653","14.7350","","-0.53%"
"04/30/2020","15.0200","15.2700","15.5150","14.7147","","-2.21%"
"04/29/2020","15.3600","15.1945","15.3996","15.0840","","1.12%"
"04/28/2020","15.1900","15.2025","15.2430","14.9050","","-0.56%"
"04/27/2020","15.2750","15.2594","15.3550","15.0100","","0.23%"
"04/24/2020","15.2400","15.2550","15.4059","15.0246","","-0.39%"
"04/23/2020","15.3000","15.0931","15.4550","14.9600","","0.96%"
"04/22/2020","15.1550","14.8800","15.1825","14.6850","","1.54%"
"04/21/2020","14.9250","15.3175","15.3500","14.5200","","-2.90%"
"04/20/2020","15.3700","15.1455","15.4475","15.0487","","1.59%"
"04/17/2020","15.1300","15.5449","15.5649","15.0334","","-3.14%"
"04/16/2020","15.6200","15.4867","15.6450","15.2015","","0.94%"
"04/15/2020","15.4750","15.7592","15.7950","15.2650","","-2.12%"
"04/14/2020","15.8100","15.3609","15.8600","15.3333","","2.33%"
"04/13/2020","15.4500","15.4744","15.5259","15.1316","","0.06%"
"04/10/2020","15.4400","15.4400","15.4700","15.4100","","-0.06%"
"04/09/2020","15.4500","14.9737","15.5750","14.9074","","2.66%"
"04/08/2020","15.0500","15.0114","15.1895","14.8569","","0.31%"
"04/07/2020","15.0030","15.0196","15.5074","14.8400","","0.12%"
"04/06/2020","14.9850","14.4070","15.1011","14.2379","","4.13%"
"04/03/2020","14.3900","14.4955","14.5884","14.2615","","-0.79%"
"04/02/2020","14.5050","13.9484","14.5650","13.8949","","3.61%"
"04/01/2020","14.0000","13.9700","14.1556","13.8050","","0.21%"
"03/31/2020","13.9700","14.0569","14.2583","13.8519","","-1.03%"
"03/30/2020","14.1150","14.5350","14.5952","13.8100","","-2.45%"
"03/27/2020","14.4700","14.4050","14.6615","14.1789","","0.59%"
"03/26/2020","14.3850","14.5000","14.6900","14.1547","","-0.31%"
"03/25/2020","14.4300","14.3100","14.7400","14.0084","","1.12%"
"03/24/2020","14.2700","13.2800","14.3650","13.1728","","7.70%"
"03/23/2020","13.2500","12.6000","13.2950","12.2708","","5.33%"
"03/20/2020","12.5800","12.0971","13.0278","11.9950","","3.88%"
"03/19/2020","12.1100","11.9598","12.3110","11.7750","","1.09%"
"03/18/2020","11.9800","12.6096","12.9050","11.6402","","-4.85%"
"03/17/2020","12.5900","12.8450","13.2550","12.1186","","-2.40%"
"03/16/2020","12.9000","15.0942","15.1210","11.7925","","-12.13%"
"03/13/2020","14.6800","15.8375","15.8800","14.4400","","-7.21%"
"03/12/2020","15.8200","16.7500","16.9407","15.5124","","-5.57%"
"03/11/2020","16.7530","16.8969","17.1269","16.6700","","-0.63%"
"03/10/2020","16.8600","16.9900","17.2150","16.8000","","-0.65%"
"03/09/2020","16.9700","17.3350","17.5317","16.5550","","-1.98%"
"03/06/2020","17.3130","17.4304","17.5891","17.0487","","-0.56%"
"03/05/2020","17.4100","17.2076","17.4701","17.1397","","1.34%"
"03/04/2020","17.1800","17.1966","17.3548","17.0729","","0.00%"
"03/03/2020","17.1800","16.7477","17.4775","16.7150","","2.70%"
"03/02/2020","16.7281","16.6900","17.0585","16.5050","","0.40%"
"02/28/2020","16.6615","17.7244","17.8783","16.3850","","-5.85%"
"02/27/2020","17.6975","17.9077","18.1455","17.6250","","-1.03%"
"02/26/2020","17.8823","18.0050","18.2261","17.7835","","-0.57%"
"02/25/2020","17.9856","18.6418","18.6750","17.8787","","-3.42%"
"02/24/2020","18.6224","18.4900","18.9635","18.4850","","0.86%"
"02/21/2020","18.4628","18.3678","18.6475","18.3438","","0.60%"
"02/20/2020","18.3520","18.4233","18.4627","18.2141","","-0.26%"
"02/19/2020","18.4000","18.1691","18.4704","18.1420","","1.31%"
"02/18/2020","18.1613","17.7950","18.2444","17.7750","","2.23%"
"02/17/2020","17.7650","17.7500","17.9181","17.6933","","0.20%"
"02/14/2020","17.7300","17.6467","17.8304","17.6153","","0.58%"
"02/13/2020","17.6274","17.4837","17.7530","17.4700","","0.94%"
"02/12/2020","17.4633","17.6522","17.6925","17.4515","","-0.96%"
"02/11/2020","17.6320","17.7741","17.8309","17.5590","","-0.66%"
"02/10/2020","17.7500","17.7000","17.8556","17.6670","","0.43%"
"02/07/2020","17.6735","17.8277","17.8795","17.6290","","-0.75%"
"02/06/2020","17.8077","17.6148","17.9029","17.5962","","1.21%"
"02/05/2020","17.5946","17.5969","17.7446","17.4706","","0.09%"
"02/04/2020","17.5781","17.6749","17.8034","17.5102","","-0.44%"
"02/03/2020","17.6566","18.0500","18.1103","17.5798","","-2.08%"
"01/31/2020","18.0313","17.8414","18.1114","17.7827","","1.16%"
"01/30/2020","17.8249","17.5590","18.0560","17.5407","","1.62%"
"01/29/2020","17.5401","17.4536","17.6048","17.3738","","0.61%"
"01/28/2020","17.4342","18.1028","18.1316","17.4362","","-3.59%"
"01/27/2020","18.0838","18.1100","18.3545","18.0361","","0.01%"
"01/24/2020","18.0820","17.8022","18.1693","17.7332","","1.68%"
"01/23/2020","17.7840","17.8375","17.9242","17.5991","","-0.19%"
"01/22/2020","17.8180","17.7906","17.9471","17.6688","","0.26%"
"01/21/2020","17.7721","18.0650","18.1726","17.6246","","-1.62%"
"01/20/2020","18.0650","18.0200","18.1430","17.9848","","0.37%"
"01/17/2020","17.9982","17.9512","18.1903","17.8916","","0.32%"
"01/16/2020","17.9406","18.0015","18.0610","17.8621","","-0.28%"
"01/15/2020","17.9905","17.7950","18.0562","17.7350","","1.13%"
"01/14/2020","17.7887","17.9743","17.9839","17.6668","","-0.97%"
"01/13/2020","17.9638","18.1000","18.1300","17.9102","","-0.71%"
"01/10/2020","18.0917","17.9090","18.1743","17.8250","","1.08%"
"01/09/2020","17.8985","18.0950","18.2200","17.7908","","-1.02%"
"01/08/2020","18.0831","18.4017","18.8550","18.0400","","-1.65%"
"01/07/2020","18.3874","18.1530","18.4499","17.9341","","1.35%"
"01/06/2020","18.1424","18.0400","18.5200","18.0007","","0.60%"
"01/03/2020","18.0343","18.0250","18.2871","17.9846","","0.12%"
"01/02/2020","18.0131","17.8650","18.1207","17.7742","","1.03%"
"01/01/2020","17.8300","17.8500","17.8650","17.8500","","0.00%"
"12/31/2019","17.8300","17.9250","18.1700","17.8050","","-0.48%"
"12/30/2019","17.9159","17.7600","17.9900","17.7600","","0.91%"
