"Date","Price","Open","High","Low","Vol.","Change %"
"06/21/2021","8,549.01","8,451.60","8,552.84","8,442.97","","1.15%"
"06/18/2021","8,451.60","8,537.46","8,537.46","8,447.40","","-1.01%"
"06/17/2021","8,537.46","8,475.03","8,558.05","8,458.11","","0.74%"
"06/16/2021","8,475.03","8,519.09","8,543.12","8,416.04","","-0.52%"
"06/15/2021","8,519.09","8,557.83","8,558.96","8,509.09","","-0.45%"
"06/14/2021","8,557.83","8,510.63","8,557.98","8,496.39","","0.55%"
"06/11/2021","8,510.63","8,491.31","8,511.05","8,474.53","","0.23%"
"06/10/2021","8,491.31","8,415.01","8,493.18","8,415.01","","0.91%"
"06/09/2021","8,415.01","8,417.79","8,456.23","8,413.65","","-0.03%"
"06/08/2021","8,417.79","8,418.64","8,460.36","8,377.56","","-0.01%"
"06/07/2021","8,418.64","8,397.46","8,421.51","8,382.24","","0.25%"
"06/04/2021","8,397.46","8,289.97","8,404.38","8,289.97","","1.30%"
"06/03/2021","8,289.97","8,343.91","8,343.91","8,243.38","","-0.65%"
"06/02/2021","8,343.91","8,334.73","8,366.66","8,320.39","","0.11%"
"06/01/2021","8,334.73","8,363.95","8,413.76","8,323.90","","-0.35%"
"05/28/2021","8,363.95","8,347.51","8,404.47","8,347.51","","0.20%"
"05/27/2021","8,347.51","8,357.62","8,384.83","8,345.64","","-0.12%"
"05/26/2021","8,357.62","8,340.71","8,365.44","8,336.83","","0.20%"
"05/25/2021","8,340.71","8,339.98","8,379.87","8,329.29","","0.01%"
"05/24/2021","8,339.98","8,235.82","8,365.73","8,235.82","","1.26%"
"05/21/2021","8,235.82","8,263.09","8,314.63","8,232.07","","-0.33%"
"05/20/2021","8,263.09","8,141.93","8,285.86","8,141.93","","1.49%"
"05/19/2021","8,141.93","8,150.60","8,150.60","8,024.92","","-0.11%"
"05/18/2021","8,150.60","8,206.85","8,232.65","8,148.10","","-0.69%"
"05/17/2021","8,206.85","8,245.36","8,245.36","8,154.65","","-0.47%"
"05/14/2021","8,245.36","8,103.42","8,266.45","8,103.42","","1.75%"
"05/13/2021","8,103.42","8,022.60","8,150.50","8,022.60","","1.01%"
"05/12/2021","8,022.60","8,229.41","8,229.41","8,008.68","","-2.51%"
"05/11/2021","8,229.41","8,280.84","8,280.84","8,130.52","","-0.62%"
"05/10/2021","8,280.84","8,410.41","8,410.41","8,280.43","","-1.54%"
"05/07/2021","8,410.41","8,341.53","8,443.12","8,341.53","","0.83%"
"05/06/2021","8,341.53","8,305.23","8,343.38","8,237.51","","0.44%"
"05/05/2021","8,305.23","8,317.11","8,375.50","8,291.82","","-0.14%"
"05/04/2021","8,317.11","8,416.74","8,416.74","8,237.88","","-1.18%"
"05/03/2021","8,416.74","8,412.13","8,466.40","8,408.00","","0.05%"
"04/30/2021","8,412.13","8,489.87","8,489.87","8,400.26","","-0.92%"
"04/29/2021","8,489.87","8,465.59","8,538.04","8,419.38","","0.29%"
"04/28/2021","8,465.59","8,491.47","8,507.01","8,464.12","","-0.30%"
"04/27/2021","8,491.47","8,506.56","8,516.13","8,468.88","","-0.18%"
"04/26/2021","8,506.56","8,488.62","8,516.43","8,480.32","","0.21%"
"04/23/2021","8,488.62","8,388.67","8,512.96","8,388.67","","1.19%"
"04/22/2021","8,388.67","8,456.72","8,488.02","8,361.48","","-0.80%"
"04/21/2021","8,456.72","8,371.30","8,458.18","8,351.57","","1.02%"
"04/20/2021","8,371.30","8,418.60","8,430.91","8,331.58","","-0.56%"
"04/19/2021","8,418.60","8,480.41","8,480.41","8,384.23","","-0.73%"
"04/16/2021","8,480.41","8,462.47","8,489.63","8,446.84","","0.21%"
"04/15/2021","8,462.47","8,341.81","8,468.19","8,341.81","","1.45%"
"04/14/2021","8,341.81","8,403.08","8,420.62","8,333.96","","-0.73%"
"04/13/2021","8,403.08","8,336.14","8,411.92","8,336.14","","0.80%"
"04/12/2021","8,336.14","8,343.30","8,345.35","8,301.58","","-0.09%"
"04/09/2021","8,343.30","8,281.15","8,343.67","8,262.79","","0.75%"
"04/08/2021","8,281.15","8,215.43","8,281.95","8,215.43","","0.80%"
"04/07/2021","8,215.43","8,214.45","8,233.91","8,195.09","","0.01%"
"04/06/2021","8,214.45","8,215.54","8,254.81","8,194.69","","-0.01%"
"04/05/2021","8,215.54","8,086.97","8,224.97","8,086.97","","1.59%"
"04/01/2021","8,086.97","7,976.32","8,088.48","7,976.32","","1.39%"
"03/31/2021","7,976.32","7,898.43","8,021.38","7,898.43","","0.99%"
"03/30/2021","7,898.43","7,937.77","7,937.77","7,859.45","","-0.50%"
"03/29/2021","7,937.77","7,952.61","7,961.05","7,882.69","","-0.19%"
"03/26/2021","7,952.61","7,802.20","7,958.94","7,802.20","","1.93%"
"03/25/2021","7,802.20","7,782.83","7,823.70","7,697.01","","0.25%"
"03/24/2021","7,782.83","7,855.94","7,899.68","7,782.83","","-0.93%"
"03/23/2021","7,855.94","7,911.48","7,943.40","7,837.32","","-0.70%"
"03/22/2021","7,911.48","7,817.56","7,947.60","7,817.56","","1.20%"
"03/19/2021","7,817.56","7,804.42","7,853.65","7,758.57","","0.17%"
"03/18/2021","7,804.42","7,974.82","7,974.82","7,795.95","","-2.14%"
"03/17/2021","7,974.82","7,966.92","8,009.41","7,878.74","","0.10%"
"03/16/2021","7,966.92","7,962.59","8,030.63","7,938.10","","0.05%"
"03/15/2021","7,962.59","7,882.20","7,964.13","7,860.80","","1.02%"
"03/12/2021","7,882.20","7,915.03","7,915.03","7,807.55","","-0.41%"
"03/11/2021","7,915.03","7,774.84","7,952.76","7,774.84","","1.80%"
"03/10/2021","7,774.84","7,763.14","7,844.86","7,763.14","","0.15%"
"03/09/2021","7,763.14","7,573.01","7,812.73","7,573.01","","2.51%"
"03/08/2021","7,573.01","7,691.56","7,747.91","7,568.46","","-1.54%"
"03/05/2021","7,691.56","7,549.10","7,709.07","7,439.55","","1.89%"
"03/04/2021","7,549.10","7,680.89","7,723.38","7,458.85","","-1.72%"
"03/03/2021","7,680.89","7,851.61","7,851.61","7,679.18","","-2.17%"
"03/02/2021","7,851.61","7,947.79","7,964.61","7,848.12","","-1.21%"
